CodigoVenda,CodigoProduto,Descricao,Quantidade,ValorUnitario,ValorTotal
181,343,LONA PRETA 4X110 20KG.,12.0,1.3333,16.0
182,64,ATLAS ROLO DE TEXTURA RUSTICA 23CM,1.0,48.0,48.0
183,2038,LIXA FERRO GR220 225X275 - WORKER,2.0,3.1525,6.305
184,1422,TORN P/MAQ 1/4V 1428 CS33,1.0,148.502,148.502
184,430,CADEADO PADO LT - 35MM,1.0,27.616,27.616
184,300,FITA VEDA ROSCA 18MMX10M,1.0,1.9,1.9
184,11,DOBRADICA ENCART MERKEL POLIDA 3.1/2 FP,1.0,22.291,22.291
184,795,LUVA AZUL BUCHA DE LATAO 25MMX3/4 KRONA,1.0,12.154,12.154
184,1092,AMANCO TE SOLD 25MM CB,1.0,2.997,2.997
184,1132,AMANCO LUVA SOLD 25MM CB,1.0,2.134,2.134
184,1058,AMANCO TUBO SOLD PB 25X6M,1.0,34.668,34.668
184,1645,CIMENTO,25.0,1.0,25.0
186,503,ENGATE FLEX PLAST KRONA 60CM,1.0,13.231,13.231
187,805,PREGO C/CABECA 17X27,1.0,25.841,25.841
188,765,CHAPEU PEPPI 2,1.0,46.0,46.0
189,350,LUVA LATEX LIGHT AM. TAM 9 (G),1.0,9.031,9.031
190,641,ARGAMASSA USICAL - PORCELANATO INTERNO 20KG,1.0,33.5,33.5
190,638,ARGAMASSA USICAL - INTERNO - AC I 20KG,1.0,17.0,17.0
192,498,THOMPSON TRENA DE ACO EMBOR 19MM 5M,1.0,18.42,18.42
192,1217,BITS PH2 1/4X50MM PONTA DUPLA - COLLINS,1.0,6.916,6.916
193,654,REJUNTAMENTO PORCELANATO USICAL - CZ PLATINA 1KG,2.0,13.483,26.966
194,805,PREGO C/CABECA 17X27,2.0,25.841,51.682
194,153,"FERRO 4,2MM 1,3KG 12MT",1.0,17.444,17.444
195,722,CIMENTO ITAU 50KG,5.0,45.9,229.5
197,1222,BOTINA COURO N42 BI ELASTICO C/BIQ PLAST - WORKER,1.0,65.0,65.0
197,1221,BOTINA COURO N41 BI ELASTICO C/BIQ PLAST - WORKER,1.0,65.0,65.0
198,1878,PINO ADAPTADOR 10/20A,2.0,5.0,10.0
199,722,CIMENTO ITAU 50KG,3.0,45.9,137.7
199,635,CAL HIDRATADA CH III 20 KG,2.0,18.89,37.78
199,1516,TUBOZAN CAP ESGOTO 50,1.0,6.577,6.577
199,214,BUCHA PLAST 08MM C/ ANEL,10.0,0.11,1.1
200,966,SIFAO SANFONADO UNIVERSAL BR - HERC,2.0,4.9,9.8
200,1546,TUBOZAN VALVULA P/LAVAT E TANQUE,2.0,5.0,10.0
201,1522,TUBOZAN JOELHO 90 ESGOTO 50,1.0,5.0,5.0
202,563,AVANT LAMPADA LED 20W ALTA BIV,1.0,20.719,20.719
203,1516,TUBOZAN CAP ESGOTO 50,3.0,6.78,20.34
203,398,TE ESG 50X50MM,1.0,17.06,17.06
203,176,ADESIVO PLAST 17G,2.0,2.33,4.66
203,1056,AMANCO TUBO ESG SN DN 50X6M,1.0,77.561,77.561
203,1638,TUBOZAN LUVA ESGOTO 50,1.0,4.947,4.947
203,314,KRONA JOELHO ESG 90X50MM,2.0,5.878,11.756
203,340,LIXA FERRO 120,1.0,3.18,3.18
203,322,LAMINA SERRA BIMETAL 300MM STARRETT,1.0,12.823,12.823
204,635,CAL HIDRATADA CH III 20 KG,5.0,18.89,94.45
205,1307,NUMERO RESIDENCIAL N0 PRETO 12;5CM - KALA,1.0,12.988,12.988
205,1310,NUMERO RESIDENCIAL N3 PRETO 12;5CM - KALA,2.0,12.9883,25.977
206,354,LUVA SOLD 25MM,2.0,1.54,3.08
206,1294,LIXA MASSA MADEIRA GR150 225X275 - WORKER,1.0,0.78,0.78
206,176,ADESIVO PLAST 17G,1.0,2.33,2.33
207,806,PREGO C/ CABECA DUP 18X30,1.0,32.43,32.43
